Номер выстрела,Координата X,Координата Y,Сообщение о попадании
1,4.46,-0.91,False
2,0.56,-1.51,False
3,2.76,1.55,True
4,3.87,0.27,False
5,2.31,-2.01,False
6,3.56,-2.15,False
7,0.73,1.36,False
8,2.07,5.17,False
9,1.52,-0.11,False
10,1.51,0.32,True
11,4.37,-1.78,False
12,2.86,3.89,False
13,3.04,1.21,True
14,2.47,4.4,False
15,1.27,5.01,False
16,2.23,4.33,False
17,0.66,4.46,False
18,4.96,0.49,False
19,1.14,3.02,False
20,1.02,4.58,False
21,4.01,0.1,False
22,1.44,-1.43,False
23,1.84,4.57,False
24,3.53,-1.63,False
25,3.7,0.66,True
26,1.18,5.06,False
27,0.6,-2.57,False
28,2.59,-3.2,False
29,2.61,4.76,False
30,0.36,1.64,False
31,0.87,-2.62,False
32,1.1,-1.75,True
33,3.31,1.9,True
34,0.53,-0.04,False
35,0.73,-0.09,False
36,3.34,-2.71,False
37,1.22,3.26,False
38,5.07,-1.8,False
39,4.18,2.03,True
40,2.8,2.03,True
41,4.69,1.38,False
42,1.18,1.77,False
43,0.37,0.31,True
44,3.92,-2.86,False
45,5.17,3.27,False
46,2.21,3.94,False
47,2.59,-2.74,False
48,3.09,-0.21,False
49,0.74,4.33,False
50,4.41,-2.95,False
51,2.09,1.22,True
52,3.26,-2.62,False
53,4.99,0.88,False
54,1.93,-2.03,True
55,1.64,1.07,True
56,3.26,2.18,True
57,1.61,4.91,False
58,1.43,-0.18,False
59,2.19,2.03,True
60,1.27,-1.17,False
61,4.06,2.06,True
62,0.38,3.81,False
63,2.62,2.41,True
64,2.8,-1.9,False
65,3.56,0.62,True
66,1.34,-0.84,False
67,2.1,1.5,True
68,0.25,-3.02,False
69,2.3,-1.51,False
70,3.41,2.3,True
71,2.83,-1.19,False
72,3.17,-0.98,False
73,1.35,-1.41,True
74,0.65,2.09,False
75,5.0,3.91,False
76,3.22,4.59,False
77,0.36,-1.87,False
78,2.26,4.94,False
79,1.09,-0.52,False
80,0.71,4.49,False
81,0.26,-2.47,False
82,3.8,-2.33,False
83,0.26,-2.26,False
84,4.12,2.27,True
85,4.34,-0.32,False
86,1.31,3.47,False
87,0.52,-0.68,True
88,1.08,0.12,True
89,2.02,3.9,False
90,4.7,3.32,False
91,3.1,-1.54,False
92,3.98,-1.99,False
93,1.58,2.62,False
94,3.49,4.81,False
95,0.24,3.86,False
96,1.68,0.33,True
97,3.33,2.82,True
98,2.7,5.01,False
99,0.88,0.29,True
100,0.34,3.55,False
101,4.83,-0.17,False
102,1.85,3.24,False
103,2.97,5.12,False
104,3.25,-2.89,False
105,0.82,1.36,False
106,3.62,3.32,True
107,4.28,2.48,True
108,2.01,-0.26,False
109,1.83,-2.73,True
110,1.99,0.75,True
111,0.49,0.5,False
112,3.13,-2.61,False
113,1.18,0.16,True
114,0.12,2.53,False
115,4.87,1.02,False
116,4.46,-0.84,False
117,1.24,3.87,False
118,3.95,3.29,True
119,0.21,-2.08,False
120,4.54,-1.87,False
121,2.5,1.69,True
122,4.3,4.78,False
123,0.69,-1.28,True
124,2.93,-0.2,False
125,0.49,1.2,False
126,1.92,0.03,True
127,1.56,0.38,True
128,2.84,-2.47,False
129,2.65,0.29,True
130,3.01,4.83,False
131,3.59,4.32,False
132,4.2,-0.9,False
133,1.28,1.93,False
134,4.86,1.07,False
135,4.0,3.95,True
136,4.88,-2.16,False
137,1.09,3.67,False
138,4.64,5.16,False
139,1.3,-3.13,False
140,3.5,-2.56,False
141,2.73,0.88,True
142,3.1,3.18,False
143,0.8,3.62,False
144,1.24,4.35,False
145,1.93,5.1,False
146,2.21,-2.12,False
147,2.44,-1.39,False
148,0.3,2.2,False
149,5.04,4.83,False
150,0.47,-2.22,False
151,1.95,-2.73,True
152,0.33,2.74,False
153,4.8,0.04,False
154,1.0,2.54,False
155,4.09,-1.54,False
156,1.57,-0.22,False
157,3.92,3.28,True
158,0.61,4.0,False
159,0.71,-1.59,False
160,3.28,-0.09,False
161,2.56,0.48,True
162,2.07,0.91,True
163,3.52,2.79,True
164,0.68,-0.78,True
165,1.75,0.3,True
166,1.33,-2.48,True
167,1.86,0.33,True
168,4.8,3.98,False
169,1.41,0.68,True
170,2.81,-1.99,False
171,0.36,-0.92,False
172,3.09,4.79,False
173,1.12,-1.07,False
174,4.81,4.91,False
175,4.31,0.46,False
176,2.48,-1.52,False
177,1.07,0.9,True
178,3.96,-0.91,False
179,4.85,5.12,False
180,3.99,0.55,False
181,2.62,-1.07,False
182,0.56,2.9,False
183,1.08,-2.38,False
184,0.78,5.05,False
185,3.64,3.54,True
186,2.71,0.13,True
187,1.0,-0.79,False
188,1.82,-2.89,True
189,2.0,-0.94,False
190,2.88,2.88,True
191,4.62,0.57,False
192,3.06,1.49,True
193,4.63,-2.65,False
194,3.57,-1.61,False
195,1.7,1.18,True
196,3.12,3.18,False
197,4.2,-2.42,False
198,5.16,3.57,False
199,4.63,0.61,False
200,3.92,1.19,True
201,1.74,1.05,True
202,0.08,0.55,False
203,4.42,-2.17,False
204,2.65,5.06,False
205,0.26,1.77,False
206,4.3,1.76,False
207,1.12,-2.88,False
208,1.75,-2.57,True
209,4.93,0.18,False
210,4.68,-1.4,False
211,2.73,2.15,True
212,0.56,3.14,False
213,0.7,0.95,False
214,1.02,3.05,False
215,4.97,-1.44,False
216,1.44,1.4,True
217,4.82,-1.59,False
218,2.62,-1.15,False
219,5.02,-0.51,False
220,2.68,2.96,False
221,4.24,-0.47,False
222,2.06,4.94,False
223,4.24,2.95,True
224,4.96,1.13,False
225,3.37,2.55,True
226,2.68,-0.76,False
227,2.21,0.87,True
228,1.8,-1.02,False
229,1.84,-0.39,False
230,1.31,3.72,False
231,1.11,2.78,False
232,3.68,1.14,True
233,0.34,-2.96,False
234,1.56,-1.42,False
235,4.99,4.03,False
236,0.48,-2.73,False
237,2.2,2.45,False
238,4.02,-1.66,False
239,3.95,0.28,False
240,3.24,-1.35,False
241,1.23,1.79,False
242,3.93,-0.09,False
243,0.81,-1.98,False
244,3.17,3.88,False
245,0.11,2.04,False
246,4.76,-0.42,False
247,0.51,-0.62,True
248,0.38,0.39,False
249,0.85,2.47,False
250,2.8,-1.2,False
251,1.85,-1.35,False
252,1.04,1.22,False
253,3.34,4.13,False
254,4.54,2.68,False
255,2.08,1.54,True
256,0.43,4.42,False
257,4.7,3.24,False
258,2.46,-1.42,False
259,5.16,4.1,False
260,3.95,2.68,True
261,0.54,2.03,False
262,3.15,2.58,True
263,4.69,3.97,False
264,2.37,-0.18,False
265,0.06,3.64,False
266,2.4,1.94,True
267,2.44,3.48,False
268,1.36,2.45,False
269,1.46,4.69,False
270,2.46,5.0,False
271,2.94,1.05,True
272,0.16,3.94,False
273,4.2,-2.23,False
274,5.07,1.78,False
275,4.24,-2.41,False
276,3.18,4.54,False
277,3.64,-0.93,False
278,0.78,5.1,False
279,3.15,1.46,True
280,2.87,-0.14,False
281,3.12,0.64,True
282,0.64,4.42,False
283,0.81,0.97,False
284,1.22,-2.15,True
285,3.71,-2.04,False
286,2.04,4.14,False
287,3.95,0.11,False
288,1.63,-2.97,False
289,3.6,-1.12,False
290,0.72,4.26,False
291,2.58,-3.13,False
292,4.47,2.06,False
293,3.9,3.29,True
294,2.96,-1.89,False
295,1.6,0.21,True
296,4.63,0.12,False
297,0.68,0.54,True
298,0.66,0.34,True
299,3.47,4.11,False
300,2.91,-0.8,False
301,2.38,3.53,False
302,4.91,4.61,False
303,2.35,-0.53,False
304,4.2,1.0,False
305,1.29,1.66,False
306,1.07,0.95,True
307,1.48,0.54,True
308,0.16,5.12,False
309,4.12,-0.76,False
310,4.89,-1.92,False
311,5.06,-0.85,False
312,3.46,0.11,True
313,4.22,3.52,True
314,4.31,-0.58,False
315,1.95,0.31,True
316,0.55,-1.28,False
317,4.96,-1.65,False
318,0.31,-2.67,False
319,4.91,3.24,False
320,0.95,1.93,False
321,1.27,2.14,False
322,2.79,3.79,False
323,2.57,0.43,True
324,2.74,2.55,True
325,2.05,2.29,False
326,0.02,-0.25,False
327,0.58,-2.11,False
328,0.67,-1.85,False
329,3.16,2.15,True
330,3.2,1.44,True
331,2.08,4.23,False
332,1.88,-1.08,False
333,3.76,1.66,True
334,0.19,0.51,False
335,0.17,-1.61,False
336,0.85,3.79,False
337,1.3,-1.43,True
338,3.89,4.54,False
339,1.69,1.93,False
340,2.76,0.39,True
341,4.26,2.28,True
342,3.94,2.93,True
343,2.5,-2.4,False
344,4.72,2.58,False
345,3.18,-2.31,False
346,3.89,2.88,True
347,2.77,3.96,False
348,0.66,3.91,False
349,1.27,4.11,False
350,0.09,-1.22,False
351,2.69,3.59,False
352,4.98,-1.7,False
353,4.67,-2.05,False
354,1.2,3.33,False
355,2.51,4.4,False
356,0.45,2.51,False
357,1.82,1.17,True
358,3.77,2.34,True
359,2.62,-0.95,False
360,4.83,2.82,False
361,4.62,-1.41,False
362,3.94,3.98,False
363,3.99,-0.22,False
364,0.86,4.74,False
365,2.57,2.38,True
366,3.75,-2.8,False
367,3.37,5.02,False
368,0.34,1.83,False
369,1.11,-2.06,True
370,0.47,1.51,False
371,4.68,-0.92,False
372,0.01,0.57,False
